#separator:Comma
#html:false
#columns:Front,Back,Tags
#tags column:3
"Three serving frameworks and a use case?","vLLM (high-throughput GPU serving), TensorRT-LLM (max NVIDIA latency), llama.cpp/Ollama (local/edge CPU-GPU).",stage5 fundamentals
"Define TTFT, TPOT, throughput.","TTFT time to first token (prefill latency); TPOT time per output token (decode speed); throughput total tokens/sec across all requests.",stage5 fundamentals
"Why is decode bandwidth-bound, prefill compute-bound?","Decode is one token x all weights (low arithmetic intensity, HBM-limited); prefill multiplies many tokens through weights (compute-limited).",stage5 core
"Derive the KV-cache size.","2 (K,V) x layers x kv_heads x head_dim x seq x batch x bytes — linear in sequence length and batch.",stage5 core math
"How do MQA and GQA cut the KV cache; tradeoff?","Share K/V across query heads — MQA one KV head (max savings, some quality loss), GQA a few groups (near-MHA quality); shrink cache by the head ratio.",stage5 core
"Why does FlashAttention speed up without changing math?","It's IO-aware: tiling + online softmax keep the scores in SRAM and never materialize the T x T matrix in HBM, cutting memory traffic.",stage5 core
"Compare GPTQ, AWQ, GGUF.","GPTQ post-training int4 via Hessian-aware rounding (GPU); AWQ protects salient weights by activation scale; GGUF the llama.cpp file format with k-quants for CPU/edge.",stage5 core
"How does speculative decoding preserve the distribution?","Accept draft token with prob min(1, p_target/p_draft); on reject, resample from the normalized residual — provably equals sampling from the target.",stage5 core math
"What does PagedAttention do?","Stores the KV cache in fixed non-contiguous pages (like virtual memory), eliminating fragmentation and enabling prefix sharing — big throughput gains.",stage5 core
"Latency vs throughput tradeoff and batch size?","Bigger batches raise throughput (amortize weight loads) but increase per-request latency; tune batch to the SLA.",stage5 core
"Weight-only vs weight+activation quantization?","Weight-only (int4) cuts memory/bandwidth, great for decode; weight+activation (int8 both) also speeds compute via int8 matmul but is harder due to activation outliers.",stage5 core
"When distillation/pruning over quantization?","When you want a permanently smaller/faster model or quantization stalls — distill into a small student or prune structurally; both need retraining.",stage5 core
"Serving stack for p99 < 300ms TTFT at 1000 RPS for 13B?","vLLM/TRT-LLM with continuous batching + PagedAttention, GQA, int8/fp8, tensor parallel, prefill/decode disaggregation, autoscaling, admission control.",stage5 senior
"Tokens/sec below FLOPs roofline in decode — why expected?","Decode is memory-bound (arithmetic intensity ~1): you re-read all weights per token, so HBM bandwidth, not FLOPs, sets the ceiling.",stage5 senior
"Cut cost-per-token 2x — levers and risk?","Quantize (int8/int4 small quality risk), GQA/MQA, continuous batching + Paged, speculative decoding, distillation, right-size — biggest risk is quant/distill accuracy.",stage5 senior
"Speculative decoding accept/reject in detail?","For each draft token accept with min(1, p_t/p_d); on first reject resample from max(0, p_t - p_d) normalized and stop; verify k drafts in one target pass.",stage5 senior math
"Serve 100 LoRA adapters on one base — path?","Keep the base resident; batch requests, apply per-request low-rank dW in the kernel (S-LoRA/punica), page adapters in/out — near base throughput.",stage5 senior
"128K context blowing up memory — serving options?","GQA/MQA, KV quantization, PagedAttention, sliding-window/sink + eviction, chunked prefill, offload, or retrieval instead of full context.",stage5 senior
"Explain MFU; why low in decode; how to raise?","MFU = achieved/peak FLOPs; decode's low arithmetic intensity wastes FLOPs; raise with larger effective batch (continuous batching) and speculative decoding.",stage5 senior
"Disaggregated prefill/decode serving — why split?","Prefill is compute-bound, decode memory-bound; running them on separate pools sized/optimized independently avoids interference and improves both TTFT and throughput.",stage5 senior
"Compute KV-cache bytes for a given config.","bytes = 2 x layers x kv_heads x head_dim x seq x batch x dtype_bytes; e.g. Llama-2-13B fp16 at 4k is several GB per long request.",stage5 math
"Estimate decode latency from size and HBM bandwidth.","Per token ~ bytes of weights read / bandwidth; e.g. 13B int8 (~13 GB) on ~2 TB/s ~ 6-7 ms/token lower bound.",stage5 math
"Arithmetic intensity of a decode step; why batching helps?","~1 FLOP/byte (read each weight once, one MAC) — memory-bound; batching reuses each loaded weight across B tokens, raising intensity ~B.",stage5 math
"int4 vs fp16 weights — decode speed ratio?","int4 moves ~4x fewer bytes than fp16; since decode is bandwidth-bound, expect up to ~4x faster (minus dequant overhead).",stage5 math
"Implement greedy + temperature + top-k + top-p sampling.","Scale logits by 1/T, keep top-k, then keep the smallest cumulative-prob set >= p (nucleus), renormalize, and sample; T=0 means argmax.",stage5 coding
"Implement an incremental KV cache and single-step decode.","Cache per-layer K,V; each step project only the new token, append to cache, attend its query over the cache, sample, and feed back.",stage5 coding
"Implement the speculative-decoding accept/reject loop.","Draft k tokens; for each accept with min(1, p_t/p_d), else resample from the residual and break; append one bonus token from the target.",stage5 coding
"Benchmark harness for TTFT, TPOT, throughput.","Time first token (TTFT), average inter-token gap (TPOT), and total output tokens / wall time under concurrency; report p50/p95/p99.",stage5 coding
"Implement naive int8 weight quantization + dequant.","scale = max|W|/127; q = round(W/scale) clamped to int8; dequant = q x scale; per-channel scales reduce error.",stage5 coding
"Design inference for a multi-tenant LLM API.","Gateway (auth, rate limit, routing), per-model vLLM pools with continuous batching, quotas/fair scheduling, KV/semantic caching, autoscale, per-tenant metrics.",stage5 design
"Edge deployment: 7B on a laptop/phone.","4-bit GGUF via llama.cpp, GQA, small context + KV quant, memory-mapped weights, Metal/NNAPI acceleration; trade speed/quality for footprint.",stage5 design
"Pick hardware for three workloads (A100/H100/L4/CPU)?","High-throughput training/serving -> H100; steady mid serving -> A100; small/cheap or bursty -> L4; offline/local low-QPS -> CPU + GGUF.",stage5 design
"Throughput collapses when long-context requests arrive — why?","A few long sequences hog KV memory and dominate batch compute, shrinking batch size; isolate by length, chunk prefill, cap context, separate pools.",stage5 debug
"int4 quantization tanked accuracy on one task — diagnose.","Outlier-sensitive task hit by quant error; use AWQ/GPTQ with better calibration, per-channel/group scales, keep sensitive layers higher precision, or int8.",stage5 debug
"p50 fine but p99 terrible — causes?","Head-of-line blocking from long requests, queueing, cold starts, GC/paging, batch stragglers; fix with chunked prefill, admission control, length-aware scheduling.",stage5 debug
"Speculative decoding gave no speedup — why?","Low acceptance (draft too weak or mismatched) or draft too costly; pick an aligned, much smaller draft, tune k, and verify acceptance rate.",stage5 debug
"What is prompt engineering? Three techniques.","Designing inputs to steer the model: few-shot examples, chain-of-thought, and clear role/format instructions (plus output constraints).",stage6 fundamentals
"What is chain-of-thought prompting?","Asking the model to reason step by step before answering; allocates more compute to intermediate steps and improves multi-step accuracy.",stage6 fundamentals
"What is RAG and why?","Retrieve relevant documents and put them in context so the model answers from current, private, sourced data — reduces hallucination and staleness.",stage6 fundamentals
"What is an embedding and a vector database?","An embedding is a semantic vector for text; a vector DB indexes them (e.g. HNSW) for fast approximate nearest-neighbor similarity search.",stage6 fundamentals
"What is reranking?","A second-stage cross-encoder re-scores the top retrieved candidates jointly with the query for far better precision than the bi-encoder recall stage.",stage6 fundamentals
"What is function/tool calling?","The model emits a structured call (name + JSON args); your code runs the tool and returns the result, letting the LLM act on the world.",stage6 fundamentals
"What is the ReAct pattern?","Interleave Reasoning and Acting: Thought -> Action -> Observation loop until the model has enough to answer.",stage6 fundamentals
"Why use structured output (JSON mode)?","Makes outputs machine-parseable and reliable for downstream code via constrained/grammar decoding or a schema; avoids brittle free-text parsing.",stage6 fundamentals
"What are guardrails?","Input/output checks around the model (injection/PII/topic/format/safety filters) that block or transform unsafe or malformed content.",stage6 fundamentals
"When fine-tune instead of RAG?","Fine-tune to change behavior/style/format or teach a skill; RAG to inject changing/factual knowledge — often combine both.",stage6 fundamentals
"Walk through a full RAG pipeline.","Ingest -> chunk -> embed -> index; at query: (rewrite) -> retrieve (hybrid) -> rerank -> assemble context -> generate with citations -> post-check.",stage6 core
"Explain chunking tradeoffs.","Small chunks = precise but fragmented context; large = more context but noisy/diluted; tune size + overlap, respect structure, store metadata.",stage6 core
"What is hybrid search and why combine dense + sparse?","Mix dense (semantic) with BM25 (exact keyword/rare terms); fusion (RRF) covers each other's misses — robust recall.",stage6 core
"How does reranking improve quality and what cost?","A cross-encoder reads query+doc together for precise relevance, lifting answer quality; cost is extra latency per candidate, so rerank only the top-N.",stage6 core
"Decision framework: prompt vs RAG vs fine-tune?","Prompt for behavior the base has; RAG for external/changing knowledge + citations; fine-tune for durable style/skill/format; combine as needed.",stage6 core
"How do agents fail and how contain it?","Compounding errors, loops, wrong/over-privileged tool calls; contain with step limits, validation, least-privilege tools, human approval, observability.",stage6 core
"What is semantic caching and when help?","Cache answers keyed by embedding similarity of queries; helps with repetitive/FAQ traffic (cost/latency) but risks stale or wrong-match hits.",stage6 core
"What is HyDE / query rewriting?","Generate a hypothetical answer (or rewrite/expand the query) and embed that to retrieve — bridges the question-vs-answer vocabulary gap.",stage6 core
"How ground a model and force citations?","Instruct answer-only-from-context, require per-claim source ids, and post-verify that cited spans support the claims; refuse if unsupported.",stage6 core
"What to log/monitor in a production LLM app?","Prompts/responses, retrieved docs, tokens/cost, latency, tool calls, errors, user feedback, safety flags, and quality/drift metrics.",stage6 core
"Design production RAG over 10M docs with citations + access control.","Scalable ingest/embeddings, ANN index + metadata, hybrid retrieve -> rerank, pre-retrieval permission filtering (ACLs), grounded generation with citations, eval + observability.",stage6 senior
"Localize a wrong RAG answer: retrieval or generation?","Check if gold docs are in the retrieved set: missing -> retrieval (embeddings/chunking/rerank); present but ignored/contradicted -> generation (prompt/grounding).",stage6 senior
"Prompt vs RAG vs fine-tune for three cases?","Changing facts/citations -> RAG; fixed tone/format/skill -> fine-tune; capability already present, just needs instruction -> prompt; mix when needed.",stage6 senior
"Design an agent that books travel via tools.","Define typed tools (search/price/book), ReAct/planner loop, schema-validated args, confirmation before booking, step/budget limits, retries, full tracing.",stage6 senior
"RAG fine in demos but hallucinates in prod — plan?","Measure retrieval vs generation separately; fix recall (chunking/hybrid/rerank), enforce grounding + citations + abstention, eval on real queries, add monitoring.",stage6 senior
"Build the eval + observability layer to ship RAG safely.","Golden Q/A set, retrieval + faithfulness metrics, LLM-judge + human spot-checks, offline gate in CI, online A/B + feedback, tracing and drift alerts.",stage6 senior
"Cut LLM API cost 60% without hurting quality.","Route easy queries to small models, semantic + prompt caching, shorten prompts/context, cap output, batch, distill/self-host hot paths; measure quality.",stage6 senior
"When is an agent the wrong choice?","When the workflow is known and fixed — a deterministic pipeline/chain is cheaper, faster, and more reliable than open-ended planning.",stage6 senior
"Implement a minimal RAG loop.","embed(query) -> vector_store.search(k) -> build a context-grounded prompt with the chunks -> llm.generate, returning the answer plus sources.",stage6 coding
"Implement a reranking step with a cross-encoder.","Score each (query, candidate) pair with a cross-encoder, sort by score, and keep the top-n to pass into the prompt.",stage6 coding
"Implement self-consistency.","Sample N chain-of-thought answers at temperature>0, extract each final answer, and return the majority vote.",stage6 coding
"Implement a tool-calling loop with a step limit.","While under max_steps: call the model, if it requests a tool run it and append the observation, else return the final answer; cap iterations.",stage6 coding
"Implement schema-validated JSON output with retry.","Parse against a schema (e.g. Pydantic); on failure feed the validation error back and retry up to k times before failing closed.",stage6 coding
"Implement hybrid search (BM25 + dense).","Run BM25 and vector search, normalize/fuse with Reciprocal Rank Fusion (sum of 1/(k+rank)), and return the merged ranking.",stage6 coding
"Design an LLM gateway.","Single API fronting many providers: auth, routing/fallback, rate limits/quotas, caching, retries, prompt versioning, logging, cost/latency metrics.",stage6 design
"Design the feedback flywheel.","Capture thumbs/edits/regens with context, mine SFT/preference data, curate + eval-gate, retrain/improve prompts, ship behind A/B, repeat.",stage6 design
"Design a multi-tenant knowledge assistant with isolation + citations.","Per-tenant namespaces/indexes, ACL-filtered retrieval, tenant-scoped keys/quotas, grounded answers with citations, per-tenant eval and audit logs.",stage6 design
"Design CI/CD for prompts and RAG indexes.","Version prompts/configs/index, run eval suite on PRs as a gate, canary/A-B rollout, monitor online metrics, and one-click rollback.",stage6 design
"Retrieval recall@k high but answers miss the point — why?","Generation-side: context too long/noisy (reorder, rerank, trim), weak grounding prompt, or lost-in-the-middle; fix prompt + reduce/curate context.",stage6 debug
"Latency spikes when context is long — diagnose.","Prefill cost grows with tokens; trim/rerank context, cap k, cache, chunked prefill, and summarize history instead of stuffing it.",stage6 debug
"Agent loops forever or calls the wrong tool — fix.","Add step/budget limits and loop detection, tighten tool descriptions + schemas, validate args, few-shot correct usage, and fall back to ask-the-user.",stage6 debug
"Quality silently degraded over a month with no code change — why?","Data/model drift: stale or growing index, provider model update, changing query mix; add continuous eval, version pins, and drift alerts.",stage6 debug
"What is a Mixture-of-Experts model and why help?","Replace the MLP with many experts and route each token to a few; huge total capacity at low per-token FLOPs.",stage7 fundamentals moe
"Why is long context hard (two reasons)?","Attention compute/memory grows with sequence length, and quality drops (lost-in-the-middle, position extrapolation) even when it fits.",stage7 fundamentals longcontext
"What is test-time compute and why improve reasoning?","Spend more inference compute (longer CoT, sampling, search/verification) to explore and check more solution paths, raising accuracy.",stage7 fundamentals reasoning
"How do multimodal models get images into an LLM?","A vision encoder embeds the image into patch features, a projector maps them into the token space, and they're prepended as soft tokens.",stage7 fundamentals multimodal
"What is mechanistic interpretability trying to do?","Reverse-engineer the algorithms inside the network — features and circuits — to explain behavior, not just predict it.",stage7 fundamentals interp
"What is synthetic data and model collapse?","Model-generated training data; collapse is the degradation from training on too much self-generated data, losing tail diversity.",stage7 fundamentals synthetic
"How does top-k routing work; why only k experts?","A gate scores experts per token and picks the top-k (often 2); only k run, so FLOPs stay low while total capacity is large.",stage7 core moe
"Why huge total params but low per-token FLOPs in MoE?","Params scale with the number of experts (all stored), but each token activates only k, so compute scales with k not the total.",stage7 core moe
"What does the load-balancing loss prevent?","Expert collapse — an auxiliary loss spreads tokens across experts so a few don't dominate while others are starved.",stage7 core moe
"Design an MoE layer.","Linear router -> top-k softmax over E experts, capacity factor with token dropping/overflow, expert-parallel dispatch, gate-weighted combine, plus an auxiliary load-balance loss.",stage7 senior moe
"Why are MoEs harder to serve than dense?","All experts must be in memory (high VRAM), routing is dynamic/imbalanced, and expert-parallel all-to-all adds communication.",stage7 senior moe
"Dense vs 8x7B MoE at matched active params — FLOPs/memory?","Similar active FLOPs per token, but the MoE stores ~all experts (much more memory) for higher capacity at the same compute.",stage7 senior moe
"Implement top-2 gating + dispatch with balance loss.","softmax gate -> top-2 experts, dispatch tokens, weight outputs by gate probs; add aux loss = N * sum(frac_tokens * mean_prob) per expert.",stage7 coding moe
"How does RoPE enable extrapolation and where break?","Relative rotations generalize somewhat past training length, but rotation phases go out-of-distribution, so raw extrapolation degrades — needs interpolation/YaRN.",stage7 core longcontext
"What is lost-in-the-middle?","U-shaped recall: models use info at the start and end of a long context well but miss content in the middle.",stage7 core longcontext
"What is sliding-window attention and what it sacrifices?","Each token attends only to the last W tokens (linear cost) but loses direct access to distant context (recovered partly via depth/sinks).",stage7 core longcontext
"Extend a 4K model to 128K without full retraining — plan?","RoPE position interpolation/YaRN + short long-context fine-tune, efficient attention (Flash/sliding+global), KV strategy, needle-in-haystack eval.",stage7 senior longcontext
"KV-cache strategies for very long context?","GQA/MQA, KV quantization, sliding window + attention sinks, eviction/H2O, paging/offload, or retrieval instead of full attention.",stage7 senior longcontext
"Show attention compute/memory growth with sequence length.","Scores are T x T: compute O(T^2 d), memory O(T^2); doubling T quadruples both — the long-context bottleneck.",stage7 math longcontext
"Implement RoPE position interpolation + needle eval.","Scale positions by train_len/target_len before RoPE (or YaRN), then plant a fact at varying depths and measure retrieval accuracy.",stage7 coding longcontext
"Outcome RM vs process RM — difference, why PRMs help?","ORM scores only the final answer; PRM scores each reasoning step, giving denser feedback and catching flawed paths that reach right answers.",stage7 core reasoning
"How do best-of-n and self-consistency trade compute for accuracy?","Generate many candidates and pick via verifier (best-of-n) or majority vote (self-consistency); more samples raise accuracy with diminishing returns.",stage7 core reasoning
"What changed conceptually with o1/R1-style models?","Trained (often via RL on verifiable rewards) to produce long internal reasoning chains, scaling accuracy with test-time thinking.",stage7 senior reasoning
"Design an RL pipeline for reasoning on verifiable math/code.","Sample CoT solutions, score with automatic verifiers (tests/checker) as reward, optimize with PPO/GRPO, filter, iterate; guard against reward hacking.",stage7 senior reasoning
"Test-time scaling curve and its limits?","Accuracy rises with log of samples/thinking then plateaus; limited by generator coverage and verifier quality (a bad verifier caps gains).",stage7 senior reasoning
"Expected best-of-n accuracy with a perfect verifier?","1 - (1-p)^n, where p is per-sample success — the chance at least one of n samples is correct.",stage7 math reasoning
"Implement best-of-n with a verifier on GSM8K.","Sample n CoT answers, run the verifier/checker on each, return any that passes (or the majority); report pass rate vs n.",stage7 coding reasoning
"What does CLIP's contrastive objective learn?","A shared image-text space: maximize similarity of matched pairs and minimize mismatched (InfoNCE), enabling zero-shot via text prompts.",stage7 core multimodal
"Vision-encoder -> projector -> LLM architecture?","A pretrained vision encoder yields patch features, an MLP/attention projector maps them into token space, and the frozen/tuned LLM consumes them as tokens.",stage7 core multimodal
"How are images tokenized/patchified?","Split into fixed patches (e.g. 16x16), linearly embed each into a vector + position; patches become the visual tokens.",stage7 core multimodal
"Design a VLM and its two-stage training.","Vision encoder + projector + LLM; stage 1 align the projector on image-caption pairs (freeze others), stage 2 instruction-tune on visual QA.",stage7 senior multimodal
"How evaluate VLMs and detect visual hallucination?","Task benchmarks (VQA/captioning) plus grounding/POPE-style object-existence probes and human checks for objects described but not present.",stage7 senior multimodal
"Wire a frozen vision encoder + projector to an LLM for VQA.","Encode the image, project patches to LLM token dim, prepend as soft tokens before the text prompt, and train only the projector first.",stage7 coding multimodal
"What is the logit lens / activation patching?","Logit lens decodes intermediate residuals via the unembedding to see evolving predictions; activation patching swaps activations between runs to find causal components.",stage7 core interp
"What is an induction head?","An attention head implementing copy-completion: find a prior occurrence of the current token and predict what followed it — the basis of in-context learning.",stage7 core interp
"What is superposition and why do SAEs help?","Networks pack more features than neurons by overlapping them, so neurons are polysemantic; sparse autoencoders unpack activations into monosemantic features.",stage7 senior interp
"Design an experiment to locate and validate a circuit.","Form a hypothesis, localize with activation patching/path patching, validate by ablation (breaks behavior) and necessity/sufficiency tests across inputs.",stage7 senior interp
"How could interpretability improve safety/debugging?","Detect deception/backdoors, audit reasoning, find failure causes, and enable targeted edits — moving from black-box guessing to mechanism-level fixes.",stage7 senior interp
"Find induction heads via activation patching.","On a repeated random sequence, patch each head's activations and measure recovery of next-token copying; high-effect heads are induction heads.",stage7 coding interp
"What is self-instruct and rejection-sampling fine-tuning (RFT)?","Self-instruct bootstraps instructions/responses from the model itself; RFT samples many answers, keeps only verified-correct ones, and fine-tunes on them.",stage7 core synthetic
"What is model collapse and what causes it?","Iterative training on model output narrows the distribution and loses tails; caused by compounding sampling bias and missing real-data diversity.",stage7 core synthetic
"How filter synthetic data for quality and diversity?","Verify correctness (tests/checker/judge), dedup and embed-cluster for diversity, filter toxicity/PII, and balance the mixture; keep real data in the loop.",stage7 senior synthetic
"Design a synthetic-data flywheel without collapse.","Generate -> verify/filter -> keep real anchor data -> fine-tune -> eval for diversity/quality -> iterate, monitoring distribution drift each round.",stage7 senior synthetic
"When does distillation from a teacher beat human data?","When a stronger teacher is available and the task is verifiable/coverable — cheaper, scalable, consistent labels; human data wins for novel or teacher-weak domains.",stage7 senior synthetic
"Generate + filter self-instruct data, fine-tune, compare to baseline.","Prompt the model for diverse instructions+answers, verify/dedup/filter, fine-tune, and A/B against a human-data model on a held-out eval.",stage7 coding synthetic
"What is prompt injection?","Malicious instructions in the input that override the system prompt, making the model ignore rules or follow the attacker (LLM01).",stage8 fundamentals
"Direct vs indirect prompt injection?","Direct: the user types it. Indirect: planted in third-party content (web, PDF, retrieved doc) that a normal user unknowingly triggers.",stage8 fundamentals
"Why can't an LLM reliably separate instructions from data?","Everything is one token stream with no privilege boundary; the model treats persuasive data as instructions — no hard code/data separation.",stage8 fundamentals
"What is jailbreaking?","Crafting prompts (role-play, obfuscation, many-shot) that bypass safety training to elicit disallowed content.",stage8 fundamentals
"What is training-data poisoning?","Injecting malicious/backdoored examples into training/fine-tuning data so the model misbehaves or carries a trigger (LLM03).",stage8 fundamentals
"What is insecure output handling?","Downstream code trusting LLM output and feeding it to eval/SQL/shell/HTML — enabling injection/XSS/RCE (LLM02).",stage8 fundamentals
"What is excessive agency?","Giving an LLM/agent too much permission/autonomy so a bad output causes real damage (delete data, send money) (LLM08).",stage8 fundamentals
"What is PII and why care?","Personally identifiable information; leaking it via memorization, logs, or context breaks privacy law and trust — must detect, minimize, redact.",stage8 fundamentals
"What is the OWASP Top 10 for LLM Apps?","A standard list of top LLM risks (prompt injection, insecure output, poisoning, data leakage, excessive agency, etc.) for threat modeling.",stage8 fundamentals
"What is a model-extraction attack?","Querying an API to clone the model or steal data/weights/behavior; mitigate with rate limits, monitoring, watermarking, output limits.",stage8 fundamentals
"Why is indirect injection dangerous for RAG/agents?","Retrieved/browsed content enters the prompt as trusted text and can hijack tools/actions with no user awareness — a wide attack surface.",stage8 core
"Layered defenses against prompt injection?","Separate/delimit untrusted data, instruction hierarchy, input/output filters, least-privilege tools, human approval, and injection red-teaming — no single fix.",stage8 core
"How does least privilege apply to an agent's tools?","Grant only the minimal scoped tools/permissions needed, read-only by default, per-action authz, so a hijack can't escalate to destructive actions.",stage8 core
"How can dedup/filtering reduce privacy leakage?","Deduping rare sequences and filtering PII cuts memorization of unique secrets, lowering regurgitation risk (with DP/eval as backups).",stage8 core
"Exploit and fix for insecure output handling?","Exploit: model output run as SQL/HTML/shell -> injection/XSS/RCE. Fix: treat output as untrusted — validate, escape, parameterize, sandbox.",stage8 core
"Balance safety refusals vs helpfulness; measure both?","Track over-refusal (false positives on benign) and attack-success-rate together; tune thresholds and report both, not one in isolation.",stage8 core
"Supply-chain risks for models?","Compromised base weights, poisoned datasets, malicious deps/pickles, trojaned adapters; mitigate with provenance, hashes, scanning, safe formats.",stage8 core
"How red-team an LLM feature before launch?","Systematic adversarial probing (injection, jailbreak, PII, harmful, tools) with measured ASR, automated + human attacks, fixes, and a regression suite.",stage8 core
"What logging/redaction do you need?","Capture prompts/outputs/tool calls for audit while redacting PII/secrets, with access controls, retention limits, and tamper-evident security logs.",stage8 core
"Map an agentic RAG app to its top-3 OWASP-LLM risks.","Indirect prompt injection (LLM01) via retrieved docs, insecure output handling (LLM02) into tools, and excessive agency (LLM08) on actions.",stage8 core
"Defense-in-depth for an agent that browses and acts?","Treat web content as untrusted (delimit), least-privilege scoped tools, output validation, human approval for high-impact actions, sandboxing, monitoring, red-team.",stage8 senior
"Injection hidden in a PDF your RAG ingests — trace and mitigate.","Trace ingestion -> retrieval -> prompt; sanitize/strip instructions, isolate retrieved text, require grounding+citations, constrain tools, detect anomalies.",stage8 senior
"Build a continuous red-teaming + safety-eval program.","Maintained adversarial suite + automated attack generation, ASR/over-refusal dashboards, gate releases, incident loop feeding new tests, periodic human red teams.",stage8 senior
"Model regurgitates secrets — root cause and remediation.","Memorized duplicated/sensitive training data; dedup + PII filtering, DP or unlearning, output PII scanning, and stronger pretraining data governance.",stage8 senior
"Design the trust & safety layer for a public chatbot.","Input guardrails (injection/abuse), output moderation, rate limits/abuse detection, PII redaction, audit logging, escalation, and continuous safety eval.",stage8 senior
"Secure a third-party tool/plugin ecosystem?","Review/sign plugins, sandbox + scoped permissions, validate schemas/outputs, rate-limit, monitor, and require user consent for sensitive scopes.",stage8 senior
"Safety classifier over-blocks legitimate queries — fix safely?","Measure false-positive/over-refusal, add hard-negative benign data, calibrate thresholds, use graded responses/context, keep ASR flat while reducing false blocks.",stage8 senior
"Threat-model an LLM system end to end.","Enumerate trust boundaries (input, retrieval, model, output, tools), map OWASP-LLM risks per boundary, rank by impact x likelihood, add layered controls + monitoring.",stage8 senior
"Implement an input guardrail for injection/jailbreak.","Flag known patterns (ignore previous, system-prompt override, role-play unlock) via rules + a classifier; block or sanitize and log before the model.",stage8 coding
"Implement a PII detector + redactor.","Regex for emails/phones/SSN/cards + NER for names/addresses; replace matches with typed placeholders before logging or prompting.",stage8 coding
"Implement an output handler that refuses raw exec/SQL/shell.","Never eval model text; validate against an allow-list/schema, parameterize queries, escape for the sink, and sandbox any execution.",stage8 coding
"Implement a tool allow-list + argument schema validator.","Check the requested tool is permitted, validate args against its schema/types/ranges, deny unknown tools/args, and log the decision.",stage8 coding
"Implement an attack-success-rate harness.","Run a labeled attack set through the system, auto-judge whether each elicited the bad behavior, and report ASR overall and per category.",stage8 coding
"Design a guardrail service (input + output).","Pipeline of injection/PII/topic/format/moderation checks pre- and post-model, fail-closed with policies, low-latency, configurable, logged and versioned.",stage8 design
"Design data governance for a fine-tuning pipeline.","Source provenance + consent, PII scanning/redaction, poisoning checks/dedup, access controls, dataset versioning/lineage, and approval gates.",stage8 design
"Design monitoring/alerting for safety incidents.","Real-time guardrail/abuse/PII/ASR metrics with thresholds and anomaly detection, alerts to on-call, audit trails, dashboards, and an incident-response runbook.",stage8 design
"Role-play jailbreak discovered overnight — response plan?","Contain (patch filter/system prompt), measure scope via ASR, add the exploit to red-team tests, deploy fix, monitor, and postmortem for root cause.",stage8 debug
"Agent with DB access ran a destructive query — what failed, prevent?","Excessive agency + insecure output; enforce least privilege/read-only, parameterized queries, approval for writes, sandboxing, and audit logging.",stage8 debug
"RAG started citing attacker-planted documents — respond.","Treat ingestion as untrusted: vet/sign sources, sanitize content, detect anomalous docs, require grounding, and purge poisoned entries from the index.",stage8 debug
"Logs containing user PII were exposed — remediate.","Contain/rotate access, purge/redact, notify per policy; fix by redacting at capture, encrypting, access controls, and retention limits going forward.",stage8 debug
"Design ChatGPT: what is the unit of work, and why does it reshape the design?","A stateful, multi-second, GPU-bound token stream (not a cheap stateless request) -> optimize GPU utilization (MFU) and tail latency (TTFT/TPOT).",systemdesign fundamentals chatgpt
"TTFT vs TPOT -- what does each govern?","TTFT (prefill+queue) governs responsiveness; TPOT (decode speed) governs how fast the answer flows and must beat reading ~15-40 tok/s.",systemdesign fundamentals chatgpt
"Why stream tokens over SSE instead of returning the whole completion?","A long answer takes seconds; streaming shows the first token in ~hundreds of ms, matches token-by-token decode, and enables incremental moderation + early cancel.",systemdesign fundamentals chatgpt
"Why keep the chat data plane stateless?","Stateless gateways/orchestrators scale horizontally and fail over trivially; conversation state lives in a replicated store, only the in-flight KV cache pins to a replica.",systemdesign fundamentals chatgpt
"List the layers a chat request passes through, client to GPU and back.","Client -> CDN/WAF -> gateway (auth/limit) -> orchestrator -> input safety -> context build (history+memory+RAG) -> router -> scheduler -> GPU (prefill->decode) -> output safety -> SSE back.",systemdesign core chatgpt design
"How do you assemble context when history exceeds the window?","Recent turns verbatim + a rolling summary of older turns + retrieved memory/RAG chunks, budgeted by relevance and recency; prefix-cache the stable system prompt.",systemdesign core chatgpt
"Why route between multiple model sizes instead of always the biggest?","Most queries are easy; route them to a small cheap model and reserve the flagship for hard ones -- often the biggest cost lever -- plus A/B and load fallback.",systemdesign core chatgpt
"Where does safety sit in the chat path (defense in depth)?","Input moderation/injection/PII -> untrusted retrieval+tool boundary -> aligned generation with scoped tools -> output guard + stream-time moderation; measure over-refusal vs attack-success-rate.",systemdesign core chatgpt design
"What is the data flywheel for a chat product?","log -> curate/PII-scrub -> label/preferences -> SFT -> RM -> RLHF/DPO -> offline eval+red-team gate -> canary -> A/B -> ramp, with a registry and 1-click rollback.",systemdesign core chatgpt
"What storage backs each data type in a chat system?","Conversations -> wide-column KV by user; vectors -> sharded ANN; docs -> object+search; accounts/billing -> Postgres; sessions/quotas -> Redis; events -> Kafka->lake; weights -> registry.",systemdesign core chatgpt design
"Make a streaming chat request survive a replica failure mid-generation.","The stream is stateful (KV on that replica): fail cleanly + idempotent client retry, or checkpoint progress and resume elsewhere; drain for planned restarts.",systemdesign senior chatgpt
"Capacity: 100M DAU x 10 msgs/day -> peak request and token rates?","1B msgs/day ~12K req/s avg, ~40K req/s peak; x ~500 output tokens ~20M output tok/s peak -- the number that sizes the GPU fleet.",systemdesign senior chatgpt math
